name,rarity,category,subspecies,variant
smooth horns,common,horns,universal
rough horns,uncommon,horns,universal
twisted horns,rare,horns,universal
branched horns,legendary,horns,universal
abnormal horn number,mutation,horns,universal
different horn sets,mutation,horns,universal
orb-like horn,mutation,horns,universal
slit pupil,common,eyes,universal
round pupil,uncommon,eyes,universal
no pupil,rare,eyes,universal
complete heterochromia,rare,eyes,universal
central heterochromia,rare,eyes,universal
sectoral heterochromia,rare,eyes,universal
other pupil shape,legendary,eyes,universal
coloured pupil,mutation,eyes,universal
other sclera colour,mutation,eyes,universal
polycoria,mutation,eyes,universal
round ribbon,common,ribbons,universal
flat ribbon,common,ribbons,universal
pompom ribbon,uncommon,ribbons,universal
plaited ribbon,rare,ribbons,universal
lace ribbon,legendary,ribbons,universal
split ribbon,mutation,ribbons,universal
branched ribbon,mutation,ribbons,universal
shaped ribbon orbs,mutation,ribbons,universal
different wing number,mutation,wings,universal
different wing types,mutation,wings,universal
non-subspecies wings,mutation,wings,universal
overgrown canines,mutation,other,universal
extra limbs,mutation,body,universal
overgrown fur,mutation,body,universal
decay,mythical,event,universal
bone growth,mythical,event,universal
pierced wound,mythical,event,universal
corrupted scars,mythical,event,universal
corruption ribbons,mythical,event,universal
glowing heart,mythical,event,universal
soulfire eyes,mythical,event,universal
radioactive core,mythical,special mutation,temporal,future
goo body parts,mythical,special mutation,temporal,future
radioactive bones,mythical,special mutation,temporal,future
radioactive bone growth,mythical,special mutation,temporal,future
goo tears,mythical,special mutation,temporal,future
goo venom,mythical,special mutation,temporal,future
candelabra antlers,mythical,horns,universal
fairy light ribbons,mythical,ribbons,universal
snowglobe body parts,mythical,body,universal
lucky knot ribbons,mythical,ribbons,universal
huadian central eye,mythical,eyes,universal	
soul pearl,mythical,other,universal
soulfire trail,mythical,other,universal
multiple tails,mythical,other,universal
fox ears,mythical,other,universal
broken horn,mythical,event,temporal,future
broken mechanical parts,mythical,event,temporal,future
broken tubes,mythical,event,temporal,future
insect wings,N/A,wings,nature
bird wings,N/A,wings,nature
leaf tail growth,common,tail growth,nature
flower tail growth,uncommon,tail growth,nature
succulent tail growth,rare,tail growth,nature
fungus tail growth,legendary,tail growth,nature
fruit/vegetable/seed tail growth,mutation,tail growth,nature
air plant tail tip,mutation,subspecies mutation,nature
hooves,N/A,body,nature
mandibles,N/A,other,nature
proboscis,N/A,other,nature
antennae,N/A,other,nature
plant growth,mutation,subspecies mutation,nature
wooden body parts,mutation,subspecies mutation,nature
partially scaled,N/A,body,water
dorsal fin,N/A,other,water
back fin legs,mutation,subspecies mutation,water
translucent body parts,mutation,subspecies mutation,water
extra/multiple orbs,mutation,subspecies mutation,water
eel/axolotl tail,mutation,subspecies mutation,water
jellyfish tail,mutation,subspecies mutation,water
external gills (tropic),N/A,other,water,tropic
fully scaled (tropic),mutation,subspecies mutation,water,tropic
bioluminescent markings (tropic),mutation,subspecies mutation,water,tropic
fully scaled (ocean),N/A,body,water,ocean
bioluminescent markings (ocean),N/A,body,water,ocean
flame covered paws,N/A,body,fire
fire/smoke trails,N/A,other,fire
fire breath,N/A,other,fire
phoenix wings,mutation,subspecies mutation,fire
fire limbs,mutation,subspecies mutation,fire
lava body parts,mutation,subspecies mutation,fire
no pupil,common,eyes,crystal
no eyes,uncommon,eyes,crystal
gem eyes,rare,eyes,crystal
crystalline wing membrane,N/A,wings,crystal
metal tail growth,common,tail growth,crystal
gem tail growth,uncommon,tail growth,crystal
whisker-like ribbons,N/A,ribbons,crystal
minerals in mane,N/A,mane,crystal
metal spine spikes,common,other,crystal
crystal growth,N/A,other,crystal
gem horns/claws,mutation,subspecies mutation,crystal
metal body parts,mutation,subspecies mutation,crystal
gem body parts,mutation,subspecies mutation,crystal
magic crystal,mutation,subspecies mutation,crystal
ice horns/claws,mutation,subspecies mutation,frost
ice body parts,mutation,subspecies mutation,frost
icicle body growth,mutation,subspecies mutation,frost
storm cloud tail growth,common,tail growth,thunder
lightning bolt tail growth,uncommon,tail growth,thunder
lightning rod tail growth,rare,tail growth,thunder
wire ribbon,N/A,ribbons,thunder
light-bulb orbs,N/A,ribbons,thunder
thundercloud mane,N/A,mane,thunder
nose scales,N/A,other,thunder
chin/cheek spikes,N/A,other,thunder
lightning rod quills,N/A,other,thunder
thundercloud wings,mutation,subspecies mutation,thunder
plasma body parts,mutation,subspecies mutation,thunder
magic sensing central eye,N/A,eyes,celestial	
double head wings,N/A,wings,celestial
feathers in mane,N/A,mane,celestial
long body (celestial-born),N/A,body,celestial
extra back wings,common,wings,celestial
